colonne,sum,mean,min,max,non_null
Unnamed: 39,39706.471888907516,413.60908217611995,0.0,13470.319433501409,96.0
Unnamed: 40,36160.41998793688,376.6710415410092,0.0,12403.242544017252,96.0
Unnamed: 41,66414.136741317,691.8139243887186,0.0,25698.46070075757,96.0
Unnamed: 42,144420.8338304913,1504.3836857342842,0.0,66697.2300397792,96.0
Unnamed: 43,38288.68853985099,398.8405056234478,0.0,11790.41951686453,96.0
Unnamed: 44,47782.201171018096,497.7312621981052,0.0,17707.99401095583,96.0
Unnamed: 45,606675.1222188296,6319.532523112808,0.0,233263.4486558313,96.0
Unnamed: 48,343158.8968836513,3574.5718425380346,0.0,118773.33333333331,96.0
Unnamed: 49,254300.98379581975,2648.968581206456,0.0,71315.9946988763,96.0
Unnamed: 50,411852.69354600296,4290.132224437531,0.0,131593.8962962963,96.0
Unnamed: 51,667109.9008615566,6949.061467307882,0.0,263249.06666666665,96.0
Unnamed: 52,514105.4604617469,5355.265213143197,0.0,142402.074074074,96.0
Unnamed: 53,911379.5146985209,9493.536611442925,0.0,401472.0,96.0
Unnamed: 54,258144.74895121902,2689.0078015751983,0.0,70071.6932231405,96.0
Unnamed: 55,258852.5342935754,2696.380565558077,0.0,68783.87823068781,96.0
Unnamed: 56,371518.52795801475,3869.9846662293203,0.0,109920.25058201054,96.0
Unnamed: 57,291703.354939394,3038.5766139520206,0.0,145525.24800000002,96.0
Unnamed: 58,230153.0687725736,2397.4277997143085,0.0,114966.53254437872,96.0
Unnamed: 59,188866.18560606055,1967.3561000631307,0.0,94101.33333333331,96.0
Unnamed: 60,4698597.447118158,48943.723407480815,0.0,1274107.332742404,96.0
Unnamed: 63,4000878.926826473,40412.918452792655,0.0,1202127.449487731,99.0
Unnamed: 64,4463846.81346188,45089.361752140205,0.0,1231151.9131383025,99.0
Unnamed: 65,6132737.687582791,61946.845329119096,0.0,1784842.1231840565,99.0
Unnamed: 66,1656935.344031184,16736.720646779635,0.0,488518.83333333326,99.0
Unnamed: 67,3000126.9775458477,30304.312904503513,0.0,1015988.706453652,99.0
Unnamed: 68,3246037.9280690597,32788.26189968747,0.0,866062.6623450539,99.0
Unnamed: 69,3410312.256943506,34447.598554984914,0.0,990626.1685297048,99.0
Unnamed: 70,4407413.5110602975,44519.32839454846,0.0,1289021.802881698,99.0
Unnamed: 71,4257505.521648174,42575.05521648174,0.0,1251280.4914923045,100.0
Unnamed: 72,881894.2415004682,8818.942415004682,0.0,881894.2415004682,100.0
Unnamed: 73,0.0,0.0,0.0,0.0,99.0
Unnamed: 74,3768724.3949694433,38067.923181509526,0.0,1119691.887582539,99.0
Unnamed: 75,38341942.63903031,387292.349889195,0.0,11239312.038428375,99.0
Unnamed: 123,3454915.1054118676,35988.69901470695,0.0,1335175.945813703,96.0
Unnamed: 124,3698546.8280196358,38526.52945853787,0.0,1614495.9905255227,96.0
Unnamed: 125,4702627.306600379,48985.70111042061,0.0,2114419.8063266804,96.0
Unnamed: 126,1828380.4350447645,19045.6295317163,0.0,766849.3417340651,96.0
Unnamed: 127,2784994.144559429,29010.355672494054,0.0,1092808.6691898997,96.0
Unnamed: 128,2840618.9793008766,29589.78103438413,0.0,802944.0,96.0
Unnamed: 129,2895724.6620522058,30163.79856304381,0.0,1339383.3442976763,96.0
Unnamed: 130,3283464.4392203474,34202.754575211955,0.0,1506882.3027282744,96.0
Unnamed: 131,3631835.1605690373,37831.616255927474,0.0,1653574.8528264335,96.0
Unnamed: 132,992222.329714607,10335.64926786049,0.0,283534.8061119882,96.0
Unnamed: 133,530282.5514823296,5523.776577940934,0.0,232189.8574198291,96.0
Unnamed: 134,3303801.6967561366,34414.60100787642,0.0,1585593.9291703198,96.0
Unnamed: 135,33945381.965249315,353597.72880468034,0.0,14139497.190666867,96.0
